t, ir, imu 
232.84,-0.11722,-14740
232.89,1.17297,-15342
232.94,-1.29988,-15696
232.99,-2.5624,-15952
233.04,0.03402,-16362
233.09,2.58317,-16396
233.14,2.63266,-16536
233.19,1.74209,-16516
233.24,0.28683,-16936
233.29,-1.98014,-17748
233.34,-2.63577,-18110
233.39,-0.49763,-17648
233.44,1.48957,-16924
233.49,0.84319,-17284
233.54,-1.37487,-17846
233.59,-2.36816,-17534
233.64,-0.95868,-16922
233.69,0.78884,-15904
233.74,0.84612,-14876
233.79,0.25558,-14856
233.84,-1.67057,-14816
233.89,-5.94309,-14984
233.94,-6.02207,-15610
233.99,1.01436,-15922
234.04,6.72929,-16126
234.09,6.16736,-16504
234.14,2.39022,-17118
234.19,-0.76555,-17684
234.24,-1.38897,-17592
234.29,-1.21753,-17840
234.34,-1.67284,-17650
234.39,-0.16405,-17298
234.44,3.20185,-16780
234.49,4.61888,-16754
234.54,3.06928,-17592
234.59,0.67413,-17284
234.64,-0.47951,-16642
234.69,-0.86691,-16118
234.74,-1.62611,-15996
234.79,-1.13759,-15300
234.84,0.90253,-14646
234.89,0.91126,-14128
234.94,-1.77929,-14800
234.99,-2.40646,-15574
235.04,-0.6612,-15988
235.09,-1.10331,-16276
235.14,-1.60123,-17460
235.19,0.68658,-18112
235.24,1.71496,-18034
235.29,-0.57635,-17416
235.34,-2.77459,-17116
235.39,-2.25919,-16230
235.44,-0.72246,-16652
235.49,0.94166,-17260
235.54,3.43775,-18002
235.59,4.55211,-18030
235.64,2.21492,-17578
235.69,-1.82999,-16458
235.74,-3.02364,-16074
235.79,-1.42817,-15368
235.84,-1.96032,-14902
235.89,-3.07149,-14576
235.94,-1.31007,-14976
235.99,1.36411,-15512
236.04,3.64346,-15790
236.09,5.2994,-15930
236.14,5.18782,-16214
236.19,3.36082,-16954
236.24,1.28476,-16924
236.29,0.09133,-16942
236.34,-0.42943,-17262
236.39,-0.81021,-17338
236.44,-1.05412,-17696
236.49,-1.18699,-17998
236.54,-1.34297,-17530
236.59,-1.40023,-17454
236.64,-1.27019,-17330
236.69,-2.92903,-16920
236.74,-9.15656,-16468
236.79,-15.08384,-15982
236.84,-10.61375,-15330
236.89,2.79672,-14874
236.94,12.66318,-14534
236.99,12.41519,-14806
237.04,6.10749,-15342
237.09,1.87744,-15544
237.14,3.1549,-15738
237.19,5.50665,-16414
237.24,4.34033,-16904
237.29,0.91539,-17320
237.34,-1.33208,-17478
237.39,-1.67623,-17524
237.44,-1.43575,-17954
237.49,-2.33966,-17770
237.54,-4.28493,-17200
237.59,-4.06999,-17270
237.64,-2.64426,-17578
237.69,-4.16196,-17276
237.74,-5.07197,-17312
237.79,-1.43771,-17370
237.84,2.65925,-16256
237.89,3.54444,-15482
237.94,2.38699,-15116
237.99,1.67085,-15464
238.04,1.6349,-15022
238.09,1.16889,-14568
238.14,0.51039,-15114
238.19,0.12171,-15960
238.24,-0.43416,-16024
238.29,-0.87434,-16578
238.34,-0.81986,-16898
238.39,-0.96399,-17300
238.44,-0.87775,-17020
238.49,0.09839,-17212
238.54,1.24162,-17566
238.59,1.74825,-17816
238.64,0.8246,-17788
238.69,-1.20855,-17642
238.74,-1.8985,-17580
238.79,-0.39107,-17672
238.84,0.10849,-16692
238.89,-1.41479,-16698
238.94,-1.66299,-16236
238.99,-0.03433,-16384
239.04,1.22126,-16290
239.09,1.1925,-15798
239.14,0.51487,-14720
239.19,0.45622,-14268
239.24,1.20514,-13990
239.29,1.60688,-14974
239.34,0.53361,-15654
239.39,-1.86678,-16514
239.44,-4.00367,-16666
239.49,-5.73015,-17154
239.54,-8.2499,-17400
239.59,-8.77228,-17556
239.64,-3.00555,-17442
239.69,5.42173,-17932
239.74,8.44146,-17904
239.79,5.24251,-17788
239.84,3.45384,-17496
239.89,5.95312,-17278
239.94,4.32662,-17628
239.99,-2.78911,-16994
240.04,-3.80147,-16346
240.09,3.49969,-15978
240.14,7.65685,-15718
240.19,3.72075,-15690
240.24,0.40003,-14908
240.29,3.54223,-14678
240.34,5.50647,-15488
240.39,0.89956,-15252
240.44,-2.57112,-15556
240.49,-0.03687,-15540
240.54,1.80291,-16024
240.59,-0.85593,-17150
240.64,-2.94374,-17872
240.69,-1.83087,-17868
240.74,-1.02502,-17626
240.79,-2.0578,-18172
240.84,-2.61776,-17324
240.89,-2.94333,-17928
240.94,-5.08566,-17328
240.99,-6.08401,-17234
241.04,-2.80125,-16704
241.09,0.45284,-16872
241.14,-0.58615,-17192
241.19,-2.26785,-16982
