t, ir, imu 
62.31000, 2.15161, 6496.00000
62.36000, 0.90744, 6546.00000
62.41000, -0.94860, 7344.00000
62.46000, -1.69188, 7936.00000
62.51000, -1.50117, 8506.00000
62.56000, -1.23439, 8632.00000
62.61000, -1.89330, 7606.00000
62.66000, -3.75086, 7034.00000
62.71000, -3.39256, 7540.00000
62.76000, -2.11658, 6058.00000
62.81000, -6.12535, 4706.00000
62.86000, -9.26453, 3808.00000
62.91000, -2.40765, 2906.00000
62.96000, 7.55135, 2490.00000
63.01000, 8.23334, 3086.00000
63.06000, -0.97515, 3938.00000
63.11000, -6.75144, 5102.00000
63.16000, -0.38827, 5754.00000
63.21000, 9.00371, 5276.00000
63.26000, 10.56850, 5690.00000
63.31000, 5.57920, 7446.00000
63.36000, 0.99176, 7882.00000
63.41000, -0.20817, 7758.00000
63.46000, 0.47476, 8020.00000
63.51000, 1.18759, 8908.00000
63.56000, 1.14278, 9074.00000
63.61000, 0.46232, 8546.00000
63.66000, -0.46177, 8366.00000
63.71000, -3.18861, 8636.00000
63.76000, -7.82045, 6502.00000
63.81000, -7.85335, 4250.00000
63.86000, -1.12941, 4304.00000
63.91000, 4.08742, 5332.00000
63.96000, 3.15065, 3924.00000
64.01000, -1.90882, 3482.00000
64.06000, -7.87975, 3098.00000
64.11000, -9.36469, 2702.00000
64.16000, -4.68289, 2698.00000
64.21000, 2.55844, 3672.00000
64.26000, 8.26010, 4570.00000
64.31000, 8.40540, 4968.00000
64.36000, 3.26136, 5712.00000
64.41000, -1.45360, 6208.00000
64.46000, -1.84681, 6416.00000
64.51000, -0.33962, 7210.00000
64.56000, 0.88549, 7920.00000
64.61000, 2.60228, 8516.00000
64.66000, 4.12420, 8270.00000
64.71000, 2.72599, 8062.00000
64.76000, -1.90530, 8208.00000
64.81000, -2.86415, 8334.00000
64.86000, 2.44116, 8688.00000
64.91000, 5.71561, 8480.00000
64.96000, 3.35169, 8392.00000
65.01000, 0.22949, 8296.00000
65.06000, -0.94310, 6420.00000
65.11000, -1.54889, 3396.00000
65.16000, -2.21129, 3604.00000
65.21000, -2.06349, 4410.00000
65.26000, -1.36517, 4046.00000
65.31000, -1.19094, 3076.00000
65.36000, -1.77542, 2702.00000
65.41000, -2.72127, 3400.00000
65.46000, -2.92515, 4868.00000
65.51000, -1.68480, 6394.00000
65.56000, -0.16120, 5496.00000
65.61000, 0.34839, 5126.00000
65.66000, -0.46995, 5762.00000
65.71000, -1.76465, 7034.00000
65.76000, -1.64781, 7588.00000
65.81000, 0.17285, 7308.00000
65.86000, 1.51238, 6932.00000
65.91000, 0.79528, 6792.00000
65.96000, -0.43423, 5968.00000
66.01000, -0.07169, 4950.00000
66.06000, 0.95081, 4938.00000
66.11000, 1.03856, 3156.00000
66.16000, 0.80041, 3694.00000
66.21000, 1.00822, 2722.00000
66.26000, -1.17267, 5318.00000
66.31000, -6.99850, 7216.00000
66.36000, -8.20999, 3090.00000
66.41000, -1.40574, 5294.00000
66.46000, 4.14712, 4276.00000
66.51000, 4.92250, 3866.00000
66.56000, 3.20861, 3624.00000
66.61000, -0.53617, 4888.00000
66.66000, -0.93993, 5298.00000
66.71000, 4.40575, 5884.00000
66.76000, 8.32744, 5390.00000
66.81000, 6.78590, 5550.00000
66.86000, 3.07678, 6434.00000
66.91000, 0.26885, 6176.00000
66.96000, -1.32079, 6182.00000
67.01000, -0.98219, 6202.00000
67.06000, 0.92018, 6216.00000
67.11000, 1.74384, 5972.00000
67.16000, 0.74220, 7092.00000
67.21000, -1.04978, 7670.00000
