t, ir 
1279.13000, -2.86785
1279.18000, -4.10733
1279.23000, -1.58596
1279.28000, 1.94581
1279.33000, 3.00139
1279.39000, 1.65974
1279.43000, 1.94888
1279.48000, 7.15576
1279.54000, 11.98170
1279.58000, 7.10353
1279.63000, -4.75154
1279.68000, -11.42899
1279.73000, -8.69547
1279.78000, -2.58490
1279.83000, 0.15138
1279.88000, -1.51858
1279.93000, -3.70405
1279.98000, -3.09586
1280.03000, -0.23945
1280.08000, 2.19925
1280.13000, 2.93052
1280.18000, 2.54417
1280.23000, 2.13608
1280.28000, 4.72608
1280.33000, 11.04851
1280.39000, 11.87833
1280.43000, 1.16001
1280.48000, -10.68519
1280.54000, -12.62990
1280.58000, -6.67308
1280.64000, -0.87124
1280.69000, 0.11806
1280.73000, -1.99893
1280.79000, -2.95427
1280.84000, -1.19025
1280.89000, 1.48779
1280.94000, 2.63290
1280.99000, 1.75662
1281.04000, 1.03181
1281.09000, 4.38399
1281.14000, 10.59957
1281.19000, 9.91082
1281.24000, -0.30745
1281.29000, -9.32911
1281.34000, -9.69599
1281.39000, -4.12938
1281.44000, 0.69206
1281.49000, 0.79300
1281.54000, -1.64950
1281.59000, -2.56788
1281.64000, -1.38078
1281.69000, 0.01058
1281.74000, 0.45110
1281.79000, 0.08863
1281.84000, 0.05958
1281.89000, 3.72328
1281.94000, 10.93614
1281.99000, 11.76254
1282.04000, 1.44851
1282.09000, -9.25237
1282.14000, -10.79656
1282.19000, -5.68216
1282.24000, -1.10776
1282.29000, -0.48684
1282.34000, -1.86036
1282.39000, -2.21080
1282.44000, -0.97366
1282.49000, 0.62772
1282.54000, 1.53420
1282.59000, 1.90541
1282.64000, 2.03891
1282.69000, 1.86273
1282.74000, 4.26387
1282.79000, 11.12510
1282.84000, 13.71309
1282.89000, 4.26866
1282.94000, -8.55082
1282.99000, -13.04441
1283.04000, -9.28778
1283.09000, -3.80481
1283.14000, -1.10459
1283.19000, -1.47347
1283.24000, -2.54572
1283.29000, -2.35288
1283.34000, -1.01642
1283.39000, 0.50403
1283.44000, 1.58497
1283.49000, 1.84569
1283.54000, 1.49661
1283.59000, 3.73859
1283.64000, 10.41452
1283.69000, 12.61075
1283.74000, 3.15028
1283.79000, -8.69646
1283.84000, -11.93878
1283.89000, -7.20229
1283.94000, -1.26904
1283.99000, 0.86885
1284.04000, -0.36139
1284.09000, -1.66372
1284.14000, -1.39483
1284.19000, 0.07316
1284.24000, 1.60898
1284.29000, 2.08491
1284.34000, 1.73064
1284.39000, 3.60040
1284.44000, 9.43068
1284.49000, 12.03005
1284.54000, 4.09263
1284.59000, -7.70294
1284.64000, -12.00158
1284.69000, -7.64672
1284.74000, -1.37300
1284.79000, 1.13276
1284.84000, -0.94084
1284.89000, -3.99821
1284.94000, -4.02260
1284.99000, -1.20849
1285.04000, 1.59719
1285.09000, 2.66516
1285.14000, 1.92593
1285.19000, 0.68440
1285.24000, 2.81190
1285.29000, 10.16448
1285.34000, 13.64680
1285.39000, 5.08399
1285.44000, -7.24244
1285.49000, -11.80978
1285.54000, -8.22595
1285.59000, -2.79652
1285.64000, -0.69254
1285.69000, -2.20287
1285.74000, -3.74730
1285.79000, -2.80556
1285.84000, -0.14005
1285.89000, 2.25027
1285.94000, 3.00181
1285.99000, 2.26038
1286.04000, 1.88033
1286.09000, 5.32523
1286.14000, 11.57538
1286.19000, 10.68413
1286.24000, -0.93357
1286.29000, -11.66594
1286.34000, -11.74786
1286.39000, -4.57028
1286.44000, 0.80634
1286.49000, 0.38491
1286.54000, -2.68834
1286.59000, -3.81542
1286.64000, -1.69433
1286.69000, 1.40384
1286.74000, 2.94941
1286.79000, 2.96237
1286.84000, 4.92590
1286.89000, 10.68623
1286.94000, 12.32101
1286.99000, 3.11107
1287.04000, -8.69460
1287.09000, -12.09776
1287.14000, -7.15736
1287.19000, -1.42155
1287.24000, -0.36188
1287.29000, -2.62960
1287.34000, -3.80332
1287.39000, -2.05864
1287.44000, 0.74741
1287.49000, 1.86103
1287.54000, 0.87045
1287.59000, 0.10711
1287.64000, 3.69591
1287.69000, 11.17107
1287.74000, 12.07317
1287.79000, 1.55325
1287.84000, -9.46322
1287.89000, -11.21877
1287.94000, -5.50249
1287.99000, 0.42673
1288.04000, 1.52258
1288.09000, -0.87175
1288.14000, -2.42872
1288.19000, -1.62672
1288.24000, 0.28886
1288.29000, 1.74413
1288.34000, 1.69071
1288.39000, 1.12172
1288.44000, 4.30367
1288.49000, 11.38321
1288.54000, 11.95243
1288.59000, 0.82716
1288.64000, -10.81356
1288.69000, -12.35724
1288.74000, -6.02267
1288.79000, -0.07507
1288.84000, 0.73336
1288.89000, -1.64028
1288.94000, -2.67171
1288.99000, -0.87789
1289.04000, 1.54943
1289.09000, 2.32097
1289.14000, 1.60854
1289.19000, 2.99902
1289.24000, 8.84892
1289.29000, 11.83603
1289.34000, 4.32212
1289.39000, -7.30525
1289.44000, -12.19547
1289.49000, -8.68448
1289.54000, -2.76457
1289.59000, -0.10153
1289.64000, -0.89617
1289.69000, -1.74771
1289.74000, -0.80316
1289.79000, 0.78446
1289.84000, 1.53558
1289.89000, 1.54573
1289.94000, 4.05167
1289.99000, 10.83277
1290.04000, 13.20836
1290.09000, 3.86606
1290.14000, -8.56767
1290.19000, -12.62044
1290.24000, -7.80868
1290.29000, -1.30853
1290.34000, 0.64154
1290.39000, -1.48998
1290.44000, -2.97936
1290.49000, -1.74794
1290.54000, 0.39994
1290.59000, 1.64637
1290.64000, 1.87853
1290.69000, 3.34826
1290.74000, 8.61279
1290.79000, 12.45819
1290.84000, 6.51802
1290.89000, -5.24223
1290.94000, -11.51363
1290.99000, -9.09612
1291.04000, -3.47383
1291.09000, -0.76847
1291.14000, -1.91966
1291.19000, -3.38410
1291.24000, -2.26713
1291.29000, 0.56439
1291.34000, 2.08970
1291.39000, 1.64584
1291.44000, 2.52581
1291.49000, 7.60815
1291.54000, 12.41859
1291.59000, 8.38211
1291.64000, -2.89588
1291.69000, -10.34068
1291.74000, -9.06765
1291.79000, -3.61373
1291.84000, -0.03234
1291.89000, -0.38531
1291.94000, -1.94730
1291.99000, -1.68868
1292.04000, -0.09052
1292.09000, 0.99080
1292.14000, 1.30055
1292.19000, 3.28612
1292.24000, 8.69788
1292.29000, 11.66375
1292.34000, 5.25842
1292.39000, -5.71222
1292.44000, -11.13111
1292.49000, -8.40193
1292.54000, -2.54393
1292.59000, 0.53938
1292.64000, -0.53693
