6.0,
544.0
870.21,
542.0
870.26,
523.0
870.31,
546.0
870.36,
543.0
870.41,
534.0
870.46,
524.0
870.51,
561.0
870.56,
539.0
870.61,
524.0
870.66,
540.0
870.71,
527.0
870.76,
516.0
870.81,
526.0
870.86,
535.0
870.91,
539.0
870.96,
554.0
871.01,
534.0
871.06,
534.0
871.11,
529.0
871.16,
539.0
871.21,
548.0
871.26,
551.0
871.31,
536.0
871.36,
540.0
871.41,
526.0
871.46,
537.0
871.51,
542.0
871.56,
546.0
871.61,
545.0
871.66,
541.0
871.71,
512.0
871.76,
560.0
871.81,
557.0
871.86,
538.0
871.91,
543.0
871.96,
567.0
872.01,
543.0
872.06,
563.0
872.11,
561.0
872.16,
563.0
872.21,
549.0
872.26,
541.0
872.31,
541.0
872.36,
547.0
872.41,
543.0
872.46,
542.0
872.51,
538.0
872.56,
533.0
872.61,
545.0
872.66,
535.0
872.71,
541.0
872.76,
551.0
872.81,
540.0
872.86,
562.0
872.91,
548.0
872.96,
552.0
873.01,
561.0
873.06,
556.0
873.11,
552.0
873.16,
551.0
873.21,
544.0
873.26,
551.0
873.31,
545.0
873.36,
566.0
873.41,
558.0
873.46,
563.0
873.51,
525.0
873.56,
550.0
873.61,
528.0
873.66,
552.0
873.71,
524.0
873.76,
551.0
873.81,
549.0
873.86,
568.0
873.91,
527.0
873.96,
552.0
874.01,
563.0
874.06,
547.0
874.11,
542.0
874.16,
549.0
874.21,
549.0
874.26,
543.0
874.31,
574.0
874.36,
556.0
874.41,
536.0
874.46,
538.0
874.51,
539.0
874.56,
547.0
874.61,
526.0
874.66,
537.0
874.71,
539.0
874.76,
534.0
874.81,
545.0
874.86,
559.0
874.91,
542.0
874.96,
543.0
875.01,
552.0
875.06,
521.0
875.11,
532.0
875.16,
542.0
875.21,
537.0
875.26,
544.0
875.31,
554.0
875.36,
542.0
875.41,
545.0
875.46,
535.0
875.51,
545.0
875.56,
553.0
875.61,
540.0
875.66,
535.0
875.71,
540.0
875.76,
545.0
875.81,
558.0
875.86,
536.0
875.91,
