t, ir, imu 
21,106.23074,31134
21.05,-290.6446,32114
21.1,-46.79719,32412
21.15,289.04756,31696
21.2,-64.8361,33778
21.25,426.25721,31348
21.3,-12.0343,29586
21.35,-1219.50567,27672
21.4,-1554.67545,26984
21.45,-1527.98398,27750
21.5,-741.81798,28360
21.55,0.45477,30338
21.6,833.22835,36238
21.65,2904.55928,36784
21.7,3319.68444,39514
21.75,2843.25019,32544
21.8,348.60339,34230
21.85,-1019.41238,36186
21.9,536.78621,32616
21.95,-853.51388,27682
22,-3158.8352,35520
22.05,-645.81288,36520
22.1,1509.98974,35750
22.15,148.90038,36010
22.2,-45.52122,34022
22.25,-688.50066,32542
22.3,-1557.66807,33254
22.35,-1147.464,34058
22.4,-449.38175,34458
22.45,-182.69647,34912
22.5,14.23082,37484
22.55,815.46972,36276
22.6,635.78259,35420
22.65,-302.85074,34826
22.7,-481.2654,32424
22.75,-1187.0051,31068
22.8,-1710.26272,31424
22.85,-1112.37961,32058
22.9,-339.70071,30722
22.95,-421.93202,30244
23,-523.33188,33322
23.05,829.60776,33284
23.1,1432.08286,34488
23.15,1325.73428,33380
23.2,1089.79368,30926
23.25,-149.54861,29544
23.3,-776.08522,29440
23.35,-513.74275,31538
23.4,481.72241,35416
23.45,2077.0776,38158
23.5,2993.22351,36628
23.55,1930.71041,34524
23.6,199.58188,32368
23.65,-877.68622,30994
23.7,-1480.02242,31200
23.75,-1231.53742,33422
23.8,-156.58055,18582
23.85,-4238.79279,36340
23.9,-558.68673,34970
23.95,3919.82767,33740
24,515.8337,32148
24.05,149.09627,33834
24.1,381.05025,32788
24.15,289.53598,34416
24.2,311.73551,30476
24.25,-610.25524,33038
24.3,-619.7434,35516
24.35,1091.76384,33992
24.4,438.71495,34536
24.45,-48.60133,34234
24.5,41.65962,32146
24.55,-863.91068,32194
24.6,-1067.96388,32518
24.65,-549.9457,32206
24.7,-511.07582,32864
24.75,-246.72389,32468
24.8,-136.4536,33034
24.85,-47.45344,33716
24.9,354.4859,33296
24.95,217.33181,33832
25,196.83914,31558
25.05,-382.61574,32796
25.1,-378.39902,32278
25.15,28.09569,33660
25.2,232.64096,36468
25.25,1373.20939,35362
25.3,1057.12381,35080
25.35,208.72362,31750
25.4,-844.90318,32412
25.45,-1099.43946,32630
25.5,-366.36879,27612
25.55,-1853.60173,33912
25.6,-306.34217,35512
25.65,1963.63018,34484
25.7,848.7569,34830
25.75,531.38683,34322
25.8,389.9082,35298
25.85,381.3094,34356
25.9,169.90335,34032
25.95,-332.3127,33782
26,-348.9292,34224
26.05,-212.27179,35064
26.1,139.46388,35902
26.15,420.73674,35248
26.2,129.818,35274
26.25,-154.94221,34872
26.3,-265.16692,34700
26.35,-410.26068,34886
26.4,-311.69485,34788
26.45,-266.86994,35068
26.5,-186.11575,35242
26.55,-54.62344,34994
26.6,-139.5523,34998
26.65,-187.78979,34892
26.7,-157.53847,35294
26.75,-13.8064,35250
26.8,63.72067,35178
26.85,-22.72597,35520
26.9,76.71008,34966
26.95,-36.62613,34904
27,-180.66209,35054
27.05,-37.68506,34950
27.1,-16.58599,35098
27.15,19.57589,35494
27.2,201.31946,35494
27.25,223.42129,35294
27.3,84.33758,35106
27.35,-3.43303,35238
27.4,21.28831,34920
27.45,-50.04044,35262
27.5,11.47287,35026
27.55,42.66181,34964
27.6,-43.05945,34290
27.65,-194.73869,34042
27.7,-320.85422,34218
27.75,-143.26029,34456
27.8,60.99824,34342
27.85,94.65899,34216
27.9,54.18244,35082
27.95,338.33917,34288
28,207.37021,34092
28.05,-91.33084,34850
28.1,247.27153,34254
28.15,183.18714,34436
28.2,14.97621,34456
28.25,142.29979,34668
28.3,163.30766,34040
28.35,-25.6719,32414
28.4,-621.88279,32452
28.45,-675.07902,30298
28.5,-947.89858,31576
28.55,-646.56285,28900
28.6,-714.13169,27528
28.65,-1398.03936,28950
28.7,-346.35351,27610
28.75,-53.90067,26512
28.8,-453.36832,30948
28.85,1283.96741,30440
28.9,1980.54636,33174
28.95,2020.12275,34282
29,2612.43289,36628
29.05,2637.95208,31484
29.1,678.1497,33136
29.15,-268.78583,21392
29.2,-3099.04872,33436
29.25,-1105.83617,34490
29.3,2754.60434,32492
29.35,311.09507,31732
29.4,-355.68596,31364
29.45,-430.17878,32976
29.5,-50.00933,34676
29.55,664.82553,37470
29.6,1340.31713,34856
29.65,362.05671,35586
29.7,-483.66484,33238
29.75,-943.71372,28928
29.8,-2799.00109,26646
29.85,-3496.52549,25050
29.9,-3149.3034,24348
29.95,-2567.41587,30812
30,296.23675,29238
30.05,1270.73746,31410
30.1,1008.19545,33186
30.15,2176.37159,31448
30.2,1337.67506,34022
30.25,1414.17586,33838
30.3,1701.26152,33846
30.35,928.16364,34302
30.4,812.77601,34806
30.45,708.27424,34538
30.5,331.50066,34616
30.55,-15.33875,34000
30.6,-354.5015,32630
30.65,-996.23087,34094
30.7,-666.30663,31844
30.75,-935.49475,32852
30.8,-1066.78502,25500
30.85,-2675.9877,27118
30.9,-2921.2839,25462
30.95,-1540.61175,28252
31,-621.04892,28088
31.05,506.00173,29288
31.1,789.00026,30362
31.15,1482.09077,30454
31.2,1468.46546,30446
31.25,1225.64838,28950
31.3,628.13481,26104
31.35,-526.42622,26548
31.4,-1293562912,27388
31.45,-399571177.7,25974
31.5,936201731.9,24416
31.55,294758195.5,24884
31.6,340357938.3,27438
31.65,273206328.2,26390
31.7,192740741.2,27592
31.75,146600408.5,28574
31.8,96250582.16,29052
31.85,55738730.26,28512
31.9,21757006.86,30682
31.95,-6426380.355,30340
32,-28791645.19,29064
32.05,-46091932.57,28512
32.1,-58787424.81,27292
32.15,-67410595.72,27092
32.2,-72489802.23,25946
32.25,-74530346.9,28820
32.3,-74020803.28,30016
32.35,-71423775.01,29346
32.4,-67171687.58,27488
32.45,-61659553.61,29706
32.5,-55244499.7,30210
32.55,-48247826.3,28418
32.6,-40951952.71,26940
32.65,-33596637.53,28896
32.7,-26383820.72,28138
32.75,-19482015.86,27222
32.8,-13023642.42,24504
32.85,-7107844.074,26658
32.9,-1803770.423,26238
32.95,2843073.723,27366
33,6810863.831,28976
33.05,10099905.1,30194
33.1,12724962.6,26590
33.15,14714689.51,25114
33.2,16111863.97,25448
33.25,16967394.23,25858
33.3,17334877.9,25770
33.35,17272969.71,26682
33.4,16842974.46,25820
33.45,16104977.55,26614
33.5,15118886.15,26310
33.55,13941399.03,26600
33.6,12625284.26,26436
33.65,11219688.67,26078
33.7,9768235.505,26094
33.75,8310136.705,26004
33.8,6878701.467,26052
33.85,5501986.8,26774
33.9,4203150.893,26222
33.95,2999480.825,26424
34,1904490.521,26438
34.05,927281.5899,26472
34.1,72449.46288,26346
34.15,-658433.1489,26482
34.2,-1266795.356,26764
34.25,-1756694.876,26592
34.3,-2134545.281,26782
34.35,-2407948.106,26382
34.4,-2586036.111,26570
34.45,-2678559.44,26452
34.5,-2695875.461,26654
34.55,-2648695.755,26842
34.6,-2547372.347,26444
34.65,-2402490.58,26852
34.7,-2223309.73,26472
34.75,-2019138.922,26512
34.8,-1798391.709,26648
34.85,-1568226.35,26760
34.9,-1335519.644,26546
34.95,-1106066.149,26466
35,-884535.2973,26442
35.05,-674795.2938,26626
35.1,-479921.7413,26440
35.15,-302364.5584,26354
35.2,-143684.9267,26506
35.25,-4532.479,26780
35.3,114614.3589,26604
35.35,213746.3259,26588
35.4,293621.4438,26184
35.45,355175.5367,26578
35.5,399878.6251,26486
35.55,429020.4148,26138
35.6,443888.8056,26310
35.65,446660.6784,27304
35.7,439200.6113,26540
35.75,422337.9785,28510
35.8,398730.5393,29948
35.85,369898.7642,30776
35.9,336166.1892,29570
35.95,299000.4537,28920
36,260312.2129,29508
36.05,221983.2176,28810
36.1,183923.3476,28758
36.15,147048.8733,28934
36.2,112534.9586,28732
36.25,80302.20146,28704
36.3,50896.49376,31634
36.35,25569.8733,32256
36.4,3033.20868,29388
36.45,-18091.31228,23962
36.5,-36763.56391,28280
36.55,-48859.92351,22850
36.6,-59183.0586,23288
36.65,-67504.21952,26822
36.7,-69870.74666,29338
36.75,-71029.01298,27084
36.8,-72343.69763,32048
36.85,-70273.21243,32908
36.9,-66589.73733,33242
36.95,-63684.28848,21642
37,-62895.69746,34508
37.05,-55148.15481,35392
37.1,-45650.71745,36952
37.15,-41238.08081,32990
37.2,-36414.71897,34590
37.25,-30950.90128,34998
37.3,-24434.2283,35960
37.35,-18926.69538,35212
37.4,-13998.76778,35598
37.45,-9457.59371,35656
37.5,-5096.49534,35170
37.55,-1603.35379,35452
37.6,1669.61695,35262
37.65,4481.6509,35278
37.7,6671.55359,35446
37.75,8561.66986,35520
37.8,9951.10381,35054
37.85,10710.91554,35290
37.9,11278.82312,35354
37.95,11632.26655,35344
38,11546.89858,35074
38.05,11133.02222,35418
38.1,10694.63432,35348
38.15,10066.17952,35148
38.2,9130.35255,35304
38.25,8276.79676,35296
38.3,7360.28566,35306
38.35,6348.89368,35678
38.4,5489.25228,35296
38.45,4424.85646,35582
38.5,3476.39153,35526
38.55,2665.70295,35402
38.6,1752.50187,35288
38.65,982.06039,35392
38.7,378.48612,35266
38.75,-181.158,35492
38.8,-619.18031,35342
38.85,-998.31886,35404
38.9,-1340.29458,34854
38.95,-1712.64843,35380
39,-1781.16405,35136
39.05,-1778.30409,35320
39.1,-1887.47249,35386
39.15,-1778.41018,35430
39.2,-1744.85723,35432
39.25,-1677.38731,35220
39.3,-1644.76183,35482
39.35,-1465.93291,35616
39.4,-1212.64243,35318
39.45,-1204.31801,35420
39.5,-1066.50658,35344
39.55,-886.20799,35488
39.6,-717.52881,35502
39.65,-529.62831,35834
39.7,-307.37877,35696
39.75,-214.98744,35352
39.8,-288.10907,35334
39.85,-216.39781,35426
39.9,-37.76915,35628
39.95,114.11872,35690
40,226.51698,35636
40.05,231.79965,35632
40.1,237.79408,35286
40.15,161.80704,35424
40.2,187.82206,35520
40.25,313.0929,35562
40.3,326.03662,35510
40.35,285.15425,35376
40.4,237.56934,35538
40.45,262.06931,35596
40.5,304.86506,35686
40.55,289.69685,35614
40.6,246.69031,35818
40.65,242.0383,35504
40.7,141.68001,35402
40.75,2.78077,35788
40.8,139.44448,35518
40.85,97.40235,35704
40.9,37.57756,35636
40.95,57.02188,35422
41,-61.67074,35406
41.05,-109.50148,35786
41.1,43.62632,35772
41.15,79.35492,35546
41.2,-61.88527,35432
41.25,-124.78891,35420
41.3,-112.76767,35394
41.35,-98.78331,35606
41.4,-14.32616,35592
41.45,21.71912,35486
41.5,-55.8472,35540
41.55,-41.50232,35464
41.6,-33.63879,35334
41.65,-82.07499,35448
41.7,-53.67388,35550
41.75,26.62681,35578
41.8,49.03251,35594
41.85,26.38433,35550
41.9,18.77659,35658
41.95,24.07472,35490
42,4.46727,35620
42.05,-7.95791,35498
42.1,-5.55297,35510
42.15,-51.49607,35590
42.2,3.27665,35924
42.25,130.53933,35160
42.3,-95.6189,35244
42.35,-222.89213,35508
42.4,15.71231,35508
42.45,46.35754,35616
42.5,43.91517,35538
42.55,39.5893,35480
42.6,-7.53752,35506
42.65,8.00009,35634
42.7,56.2943,35406
42.75,-15.75007,35470
42.8,-34.47459,35552
42.85,39.36364,35706
