t, ir, imu 
40.64000, 1440867429.49363, 29488.00000
40.69000, 794256080.30194, 30646.00000
40.74000, 709693526.83729, 31560.00000
40.79000, 533788335.12759, 32548.00000
40.84000, 374511814.13420, 31008.00000
40.89000, 254545689.27634, 27666.00000
40.94000, 145722308.09087, 28130.00000
40.99000, 57767397.92824, 22978.00000
41.04000, -13545318.80245, 26228.00000
41.09000, -69809755.00784, 23438.00000
41.14000, -112288750.14623, 23608.00000
41.19000, -142743408.50018, 29502.00000
41.24000, -162658902.82321, 30272.00000
41.29000, -173534719.65922, 27350.00000
41.34000, -176794115.36006, 27236.00000
41.39000, -173765217.20669, 27290.00000
41.44000, -165689695.29805, 26978.00000
41.49000, -153706629.62615, 25816.00000
41.54000, -138845478.29443, 27866.00000
41.59000, -122023583.24335, 24352.00000
41.64000, -104049475.54671, 20466.00000
41.69000, -85618849.62546, 22282.00000
41.74000, -67315666.67154, 25566.00000
41.79000, -49626442.77100, 30900.00000
41.84000, -32940657.28640, 33428.00000
41.89000, -17557350.47963, 32524.00000
41.94000, -3693548.90676, 31142.00000
41.99000, 8510327.59723, 28736.00000
42.04000, 18977777.87205, 27448.00000
42.09000, 27688628.05613, 28864.00000
42.14000, 34671279.98807, 26222.00000
42.19000, 39990571.82204, 26064.00000
42.24000, 43746320.54821, 27636.00000
42.29000, 46063455.16803, 30626.00000
42.34000, 47081506.28236, 31974.00000
42.39000, 46951929.33470, 32474.00000
42.44000, 45832888.70263, 30290.00000
42.49000, 43883973.07886, 27716.00000
42.54000, 41262380.08882, 27962.00000
42.59000, 38120314.58720, 27694.00000
42.64000, 34598375.16271, 28880.00000
42.69000, 30826780.95649, 30460.00000
42.74000, 26923970.18302, 26048.00000
42.79000, 22992019.56993, -4294886648.00000
42.84000, -1274436321.19522, -4294889448.00000
42.89000, -1677734445.94591, 21296.00000
42.94000, 548500904.30851, 21780.00000
42.99000, 1239557890.32809, 19280.00000
43.04000, 640730516.96641, 25654.00000
43.09000, 616507460.83423, 27552.00000
43.14000, 466547148.13670, 27202.00000
43.19000, 337928990.02045, 26914.00000
43.24000, 239755607.76409, 27872.00000
43.29000, 147530420.06694, 28272.00000
43.34000, 71977647.13856, 27348.00000
43.39000, 9035303.21398, 25624.00000
43.44000, -42032111.12810, 23388.00000
43.49000, -81982025.16661, 24822.00000
43.54000, -112055007.18879, 30028.00000
43.59000, -133272692.81251, 28772.00000
43.64000, -146727741.44961, 29098.00000
43.69000, -153480053.09020, 31644.00000
43.74000, -154547634.13629, 31350.00000
43.79000, -150909060.35049, 30838.00000
43.84000, -143479184.39679, 30830.00000
43.89000, -133103973.03116, 30684.00000
43.94000, -120557074.54443, 28904.00000
43.99000, -106533640.50772, 27084.00000
44.04000, -91647227.18823, 19562.00000
44.09000, -76432118.10270, 18214.00000
44.14000, -61338829.56290, 20100.00000
44.19000, -46742184.53069, -4294898648.00000
44.24000, -1326511608.32045, -4294890448.00000
44.29000, -1713325787.06779, 20926.00000
44.34000, 527982759.90464, 27638.00000
44.39000, 1232534954.79177, 32126.00000
44.44000, 645529439.15334, 32296.00000
44.49000, 631402635.99372, 34440.00000
44.54000, 489822243.08092, 37082.00000
44.59000, 367916049.68559, 37040.00000
44.64000, 274859525.33684, 34648.00000
44.69000, 186260862.01059, 28272.00000
44.74000, 112970104.67056, 24152.00000
44.79000, 51066888.75630, 22624.00000
44.84000, -35369.88716, 19080.00000
44.89000, -40944901.42977, 21368.00000
44.94000, -72750118.03924, 26224.00000
44.99000, -96324638.39147, 24352.00000
45.04000, -112620597.55664, 24954.00000
45.09000, -122564494.99260, 25110.00000
45.14000, -127053907.85239, 25902.00000
45.19000, -126956622.51631, 26326.00000
45.24000, -123090650.28304, 22242.00000
45.29000, -116221552.01685, 19602.00000
45.34000, -107050720.30164, -4294888948.00000
45.39000, -1389772957.65953, -4294892848.00000
45.44000, -1777412442.88384, -4294888948.00000
45.49000, -828685272.60210, 16950.00000
